ticker,feature,n_obs,best_lag,min_pvalue,best_weekly_lag,min_weekly_pvalue,p_lag_1,p_lag_2,p_lag_3,p_lag_4,p_lag_5,p_lag_6,p_lag_7,p_lag_8,p_lag_9,p_lag_10,p_lag_11,p_lag_12,p_lag_13,p_lag_14,p_lag_15,p_lag_16,p_lag_17,p_lag_18,p_lag_19,p_lag_20,p_lag_21,p_lag_22,p_lag_23,p_lag_24,p_lag_25,p_lag_26,p_lag_27,p_lag_28,p_lag_29,p_lag_30,p_lag_31,p_lag_32,p_lag_33,p_lag_34,p_lag_35,p_lag_36,p_lag_37,p_lag_38,p_lag_39,p_lag_40,fdr_pvalue,weekly_fdr_pvalue
IHI,new_keyword_count_14d_avg,1506,40,1.05516600583817e-24,40,1.05516600583817e-24,0.7449282664808378,0.6821985901807062,0.714728928110208,0.686850256609179,0.5522396850505409,0.5674836546400206,0.49272285563975926,0.47948000278530445,0.5191702405920476,0.17970087324689318,0.22133172449883015,0.049792841372891174,0.039868314123328,0.052590195808499086,0.04919698299994965,0.0003609523831167105,0.00019520637511678563,0.00017987766820056405,0.0008544241163517041,6.420631508792644e-05,5.3217406407894157e-05,3.7971095023599835e-05,8.137613916375809e-07,7.969145421967446e-07,4.290300797123335e-11,7.173416317970949e-11,5.315146320387829e-11,8.637661593647456e-12,7.181703984844759e-12,4.122054487310077e-14,7.257280332516702e-14,7.571320509884567e-14,9.13784929066826e-14,1.8345949661822807e-13,2.751052626025792e-13,2.007067758573387e-14,7.217122616267593e-17,2.7747170426065593e-16,1.0238980871072503e-22,1.05516600583817e-24,8.652361247872993e-23,8.652361247872993e-23
XHE,new_keyword_count_14d_avg,1506,40,5.91428086749777e-12,40,5.91428086749777e-12,0.9854394197918046,0.8879826793926726,0.754582283491411,0.817333075567857,0.7652796864335787,0.7890697214560163,0.7963563813765979,0.6697342564935946,0.7223144753605537,0.42311316472526844,0.4809193295697457,0.2805304462909888,0.27257699695899273,0.33113385037718174,0.38628971784846533,0.07246913698707672,0.0668539524053592,0.08686139571356598,0.0968158522660348,0.06356806399987863,0.0631817455617969,0.057141004411942635,0.002268395808107787,0.0015268021811844497,1.0506933725450984e-05,7.210746905610692e-06,7.160041089144871e-06,2.5373941337391674e-06,2.0919525930725026e-06,5.021173198716048e-07,2.9734898820555926e-07,2.6584751828652225e-07,4.367902771401394e-07,1.182194565861693e-06,2.2025632720139066e-06,7.792267608383822e-07,8.08037623253583e-08,1.547000622236126e-07,1.9499794208722837e-11,5.91428086749777e-12,2.4248551556740856e-10,2.4248551556740856e-10
IHI,new_keyword_share,1506,40,7.10645012512924e-08,40,7.10645012512924e-08,0.8222181076808398,0.3084748749470615,0.0771726172404665,0.005075881627980322,0.00134949864801994,0.002465958681533217,0.007860118331170576,0.014908826040154883,0.017183627774468756,0.017602753189589298,0.0072550627421755255,0.0021725210345208534,0.004541161142588183,0.002719958712471201,0.004652220399583122,0.005934951726763593,0.007533150035489323,0.007115378465804799,0.0195766495204438,0.022904186839551668,0.022109011907011478,0.01735813954407371,0.021981667813995454,0.02115481414401274,0.024991890972599438,0.03292213551701059,0.018633188846830673,0.021579083055571664,0.02551450176235661,0.021260211487652943,0.008125868574069276,0.0014449464742413343,0.00030980547661294905,1.0018129752399749e-05,7.948085515179966e-05,1.449712473667258e-05,2.0141730168631364e-05,3.5166927969945576e-06,7.863955305814929e-08,7.10645012512924e-08,1.942429700868659e-06,1.942429700868659e-06
XHE,new_keyword_share,1506,40,2.165930761134118e-05,40,2.165930761134118e-05,0.7072938830671002,0.2364518508012569,0.23699035747395972,0.07135297311815575,0.02096454162699442,0.043056864604270065,0.0937591468281287,0.14253045993982633,0.09314617509286245,0.09572426340329504,0.06606976674036139,0.024559814319291322,0.022151411061774765,0.007309780167888638,0.008531944293874081,0.010672184188417314,0.012577225193636044,0.014443787420552048,0.021190198159767273,0.028020298278922575,0.01653023978148352,0.018852764590388378,0.021416060254003746,0.021649565537688237,0.022084253410605326,0.019248217871149383,0.016950893606142128,0.022312325223620894,0.02716195946771866,0.016602225610286032,0.002969571039560116,0.0006130163040146248,0.0004173478448946588,9.228269600140551e-05,0.0003392740779341213,0.00029116385503477144,0.000300380582493643,0.00029431714813751045,4.7478470195840124e-05,2.165930761134118e-05,0.0004440158060324942,0.0004440158060324942
IHI,daily_pubs_growth_1d,1506,16,0.0003439401399862511,15,0.0013818042157754907,0.3204518575890936,0.2730833575107648,0.3534032547682828,0.5719699304127135,0.5200942179285382,0.005418152877034939,0.0017482646655423695,0.0015269391271548983,0.0023317138251449676,0.002446600338238495,0.004049136575935997,0.0024439644573111003,0.001671399231528344,0.0007669483982214254,0.0013818042157754907,0.0003439401399862511,0.00039527749656042427,0.0006347799371335078,0.0008059758967707529,0.0015417141274411696,0.0023157748664655296,0.0039277034778047604,0.0031800251716552173,0.004430884926364569,0.004933538099854928,0.005030732314905377,0.0036111779537047277,0.0016365037498844155,0.0010093223702953848,0.0015068538612166096,0.0016651572050145375,0.0025166972229902014,0.002955693782458146,0.003190885350372372,0.004412102150223689,0.00215749747356115,0.004143884853031163,0.004212919132466711,0.004700993134280228,0.00561523204642866,0.005640618295774518,0.022661589138718047
IHI,new_keyword_count,1506,39,0.0011173018974564295,40,0.002420232920113669,0.4864046875000379,0.5951329650443283,0.6765146073490518,0.0810865324864426,0.054788993399089804,0.06282479606891249,0.1477586755122346,0.2271300984189145,0.311073782888807,0.23907114417195718,0.191704170716637,0.004970733896245976,0.007218047821094117,0.004560165017826161,0.004057741379826069,0.006008091647719637,0.009653677127258963,0.011256232847388407,0.03287661096412667,0.03875623334865366,0.03340270912330357,0.018026276258147695,0.03140684889369355,0.03680753832801853,0.0450438977894239,0.057918401352565346,0.012701005659852747,0.016658454470414336,0.027861382356229352,0.017565918826522624,0.011400363993847746,0.005199110905120664,0.0045413132375285705,0.0036714649525050346,0.010814369777442894,0.008787165155341739,0.005314638834593877,0.0020584869421677566,0.0011173018974564295,0.002420232920113669,0.015269792598571204,0.03307651657488681
XHE,daily_pubs_growth_1d,1506,36,0.0016464432423767459,30,0.0035748310118622765,0.2108970527558825,0.16290545934355066,0.24416584710358755,0.3883508898133938,0.31386338068902914,0.004050529431637478,0.005084768779599783,0.004929734454359515,0.006550479471970651,0.010431097273261225,0.017630614812716296,0.007019254153739131,0.008715474107780934,0.009405434471501734,0.015852769188859098,0.002126485460253041,0.0018690752924085427,0.0031002738810914383,0.004556422785254137,0.00749600357301093,0.01225667902116866,0.021584743935145978,0.018267066790316124,0.022054690349372835,0.018275554460378336,0.005359125087704785,0.004206922202272003,0.0025120264775220316,0.002618306420186695,0.0035748310118622765,0.00439934816691512,0.004676614600566595,0.0070800449100399815,0.006111823934431164,0.008415808896004648,0.0016464432423767459,0.0022530524848102945,0.003075628768060671,0.00544684784296698,0.006569755768886167,0.019286906553556166,0.04187659185324381
