ticker,feature,n_obs,best_lag,min_pvalue,best_weekly_lag,min_weekly_pvalue,p_lag_1,p_lag_2,p_lag_3,p_lag_4,p_lag_5,p_lag_6,p_lag_7,p_lag_8,p_lag_9,p_lag_10,p_lag_11,p_lag_12,p_lag_13,p_lag_14,p_lag_15,p_lag_16,p_lag_17,p_lag_18,p_lag_19,p_lag_20,p_lag_21,p_lag_22,p_lag_23,p_lag_24,p_lag_25,p_lag_26,p_lag_27,p_lag_28,p_lag_29,p_lag_30,p_lag_31,p_lag_32,p_lag_33,p_lag_34,p_lag_35,p_lag_36,p_lag_37,p_lag_38,p_lag_39,p_lag_40,fdr_pvalue,weekly_fdr_pvalue
IHI,daily_pubs_30d_avg,1506,2,0.043557217087399146,5,0.13965700979992182,0.0933797979374804,0.043557217087399146,0.08840599083380686,0.16529889116107788,0.13965700979992182,0.19823257338205677,0.28199949691663073,0.21131480107282508,0.3057357627566427,0.35472573887788145,0.34542661807930947,0.28185625820298293,0.2711682692980473,0.34172989468311415,0.38804434058853643,0.20382765212993936,0.22982414951956395,0.2698600567369967,0.359550881204448,0.39598084276095497,0.4604743789115131,0.5490489003772027,0.6076460222728577,0.5823255052953735,0.5980062543901287,0.48395263658991894,0.5020499588561085,0.5537093645016704,0.5356243575343334,0.6270652801341481,0.6629725065977388,0.7157121483560223,0.7407798723950358,0.7686469820018584,0.8460033527906405,0.6264248919038705,0.3273408247025581,0.25146553225777546,0.19497088475961502,0.17490001351810383,0.256487699464825,0.46866777553952393
XHE,avg_num_keywords_7d_avg,1506,17,0.09227658506773917,20,0.14288651693278168,0.6725572344172508,0.8388864736949231,0.7084254339820865,0.5613839742495506,0.237148438328792,0.37570473825903217,0.3812429343116055,0.18055925780658008,0.1595864085783209,0.20580238310851043,0.14105297904193737,0.19227801657198224,0.23829566049024645,0.2924929905060199,0.3497521381597565,0.25625797502100744,0.09227658506773917,0.11254344824828715,0.10864630893627884,0.14288651693278168,0.16844085946126003,0.20706905676681914,0.22995998715851104,0.15594679663080369,0.16821368656612923,0.20564787685131258,0.24206690349225227,0.2754731991429028,0.2976262062358205,0.32294993075490613,0.32448179399176974,0.35842980044607975,0.39668978543606126,0.4507449041881459,0.5018875148067152,0.5265780224416872,0.5838162713868897,0.5976111490727886,0.4398631464763457,0.48023742247916545,0.28321445840344867,0.46866777553952393
XHE,daily_pubs_growth_7d,1506,6,0.07453061372614832,10,0.16102236137798034,0.1204801379494231,0.2758287793011354,0.08571953047832848,0.21047305302631744,0.28533371975630445,0.07453061372614832,0.09816560997297867,0.12945903084682697,0.11827333994511534,0.16102236137798034,0.19974791963208258,0.1820320866637944,0.2158096040217187,0.26779624409712877,0.340900108077537,0.3993199607887569,0.4441149706570989,0.46745831469263643,0.44902726151242195,0.44035342734234517,0.43905970376653547,0.48958429288570704,0.5603041562222522,0.6429674553805096,0.5433250516282814,0.607833409887484,0.6540559348348777,0.710974434645111,0.7361441699238198,0.7606962749684181,0.6378361780726489,0.5645329668055187,0.6070085999042342,0.5808069527657092,0.6014718634967076,0.6254174727295713,0.647933151478745,0.665032786264691,0.6561522609370749,0.6264944101453752,0.28321445840344867,0.5078397551151688
IHI,avg_num_keywords_7d_avg,1506,8,0.15656619262928037,5,0.19044568095930686,0.7140199612440367,0.8043642838424913,0.886209380993714,0.7197091380305902,0.19044568095930686,0.3469082375360921,0.43348515921306596,0.15656619262928037,0.21146680971424187,0.27618182664681706,0.26061377971231375,0.3307528088905778,0.3780028813355384,0.4766678191237814,0.5504403647915581,0.5493752336609425,0.5033334851710747,0.518472815167076,0.6054772611338333,0.6788488411391926,0.6573645627365561,0.5602574471725585,0.5136262175401392,0.4434161585071987,0.5054288003915748,0.5625622720484866,0.600847475796328,0.631626524536017,0.6757714374233191,0.7121300973173393,0.7394082790441584,0.7741300612788939,0.8029800526514549,0.8399852231218822,0.8638601255524558,0.8761651656034529,0.8909425441126007,0.889944671286384,0.8568072176455692,0.8864244265558769,0.31031894989477293,0.5126013089901091
IHI,core_count_30d_avg,1506,2,0.1197616552921611,40,0.19060675971751673,0.17646112377062143,0.1197616552921611,0.21818187529585278,0.3551708792509986,0.25084840422364457,0.3102332575413555,0.40325735844268895,0.30269566574500656,0.3847483134802123,0.4210101602765549,0.41474371026958246,0.3608155771530492,0.32379375086380846,0.3617919314976509,0.40009492746465625,0.15433459156819893,0.16770410044674824,0.1905335172580096,0.280303264726182,0.32857599997777825,0.40257811613672567,0.4818343512213815,0.5448731753606786,0.47490408882629676,0.3933365791247064,0.3159953165430222,0.3290205510547717,0.37510693921528593,0.3638344748106926,0.4438289003225041,0.5066649033531267,0.4946128384161462,0.5190828431388091,0.5570501393478613,0.6870942974741179,0.5618395736363838,0.2837876216495006,0.25592986999872036,0.21566559681058206,0.19060675971751673,0.28321445840344867,0.5126013089901091
IHI,unique_subfields,1506,8,0.12088422005025247,5,0.19275486289592753,0.6982535159470127,0.813902743551996,0.7089718003104146,0.2788801379095927,0.19275486289592753,0.17995254859645465,0.1737016252802407,0.12088422005025247,0.16817482339209172,0.20633464579396052,0.2721747023927275,0.34540236119677337,0.4223525358985075,0.4787615907346723,0.5431824883341505,0.5572851366003497,0.6208624652058596,0.6871991911005391,0.7734239093767278,0.6981335256867581,0.6389566215358173,0.6904383428715957,0.7220570325406317,0.742134124883013,0.7383343903771887,0.7759888699546161,0.8203411407562428,0.5990493357151037,0.6151002850253848,0.6473176556879167,0.6419002371856161,0.6129690041094324,0.6076388525529157,0.6618623254442213,0.6687112989836297,0.691273937816147,0.641889319197235,0.6204883649055044,0.5272171230329905,0.5182768871624575,0.28321445840344867,0.5126013089901091
XHE,daily_pubs_zscore_30d,1506,3,0.11577704081786534,5,0.20062575431189508,0.20237852384996458,0.4386042929626719,0.11577704081786534,0.23507125284126032,0.20062575431189508,0.1449822892245256,0.1499166796523728,0.22083142077425855,0.2867505237707856,0.3676570084949221,0.47749703861309356,0.2867123714938982,0.3651532508890838,0.3242392218467447,0.3753637563713732,0.4287119177395277,0.45575940171211804,0.48397710424018114,0.5509656589614488,0.3829891812406302,0.4372038900344269,0.4947089601992062,0.5505717638606349,0.5255684986160132,0.5609003041234427,0.46863410918219095,0.5229470307883396,0.5656709284707642,0.6172584752828927,0.6317616325058381,0.5541330052850435,0.5462150401997976,0.5773815095815098,0.5246194172842561,0.5246258187855861,0.5611705481285476,0.5994839171256798,0.6241952799126791,0.6795968066055875,0.6004875537409726,0.28321445840344867,0.5126013089901091
XHE,top10_keyword_concentration,1506,25,0.21083902759266343,25,0.21083902759266343,0.7126390766147643,0.2477792621737269,0.24299025622207204,0.40445293826989975,0.5378418330856471,0.4246570702657857,0.34678225231620247,0.4258409087681417,0.4246031387304055,0.48885210279626157,0.5952369615053809,0.6806488977158498,0.7465036760782693,0.6969928828373134,0.7436387129566615,0.7894005387437804,0.8393749601488452,0.7621037615647983,0.8101648939887851,0.8283730156153315,0.7573423129016276,0.6146270910110994,0.6628844167233461,0.24592845793804666,0.21083902759266343,0.2699788938898651,0.30104165219959106,0.30272661599716155,0.35235826292532313,0.33314845525349956,0.382310067087158,0.4006525645694868,0.4051193246873446,0.39428986743637795,0.3501901325450793,0.374523781268202,0.254010820353733,0.2650087619903722,0.26372618284690114,0.3088415631001686,0.3601833388041334,0.5126013089901091
IHI,top10_keyword_concentration,1506,2,0.07826768425228017,5,0.21270723837522737,0.8368243527663916,0.07826768425228017,0.1379318633302458,0.21299947119287949,0.21270723837522737,0.2175100383969229,0.21198067738767534,0.28201198134958755,0.3732770940753124,0.4133223534859739,0.48192691274474175,0.5677378708303236,0.6636999836300309,0.5624953511949793,0.4601259398554919,0.490654649098037,0.5676554047268016,0.551218775642103,0.6297185965100651,0.6762255123313332,0.6379759457262932,0.6382992627436688,0.6571034155935904,0.33592517453997855,0.35966476058222857,0.4527633042949706,0.5001101377617642,0.37622756820549974,0.3963710112407831,0.3745146713728222,0.4349030729448436,0.4729142120603196,0.45593036581672963,0.4675822596321807,0.47080471244355804,0.5158737412813008,0.4306887638176771,0.48022347215922423,0.4126761263106057,0.4660226610363038,0.28321445840344867,0.5126013089901091
IHI,top10_keyword_mentions,1506,1,0.12012528767290875,15,0.21520064094734817,0.12012528767290875,0.17995949898190844,0.12926584743665878,0.29236502617954313,0.31015526251159287,0.2795569957116559,0.22823473927275645,0.3277992905481985,0.4247919783697214,0.45313915144110595,0.5097244780157708,0.44064813527357544,0.41914231408951047,0.3857673737353111,0.21520064094734817,0.2598455110154327,0.30789607529859914,0.32695391594854534,0.38898705908866876,0.29432622564214517,0.335131611455597,0.3940296098453336,0.5038807885174789,0.5411750023885646,0.5350660751844564,0.5762306214207731,0.5847375336579715,0.6133823334574027,0.6456131735590762,0.6713371734809725,0.7168362618023668,0.7659369490627281,0.775029765795475,0.7055823697285711,0.6373639206585998,0.6691466396202146,0.7091416845096835,0.669813291599553,0.7168630512567677,0.6975514744590439,0.28321445840344867,0.5126013089901091
