date,daily_pubs,core_count,award_count,funder_count,avg_num_keywords,core_share,award_share,funder_share,daily_pubs_7d_avg,daily_pubs_14d_avg,daily_pubs_30d_avg,core_count_7d_avg,core_count_14d_avg,core_count_30d_avg,award_count_7d_avg,award_count_14d_avg,award_count_30d_avg,funder_count_7d_avg,funder_count_14d_avg,funder_count_30d_avg,avg_num_keywords_7d_avg,avg_num_keywords_14d_avg,avg_num_keywords_30d_avg,daily_pubs_growth_1d,daily_pubs_growth_7d,daily_pubs_growth_14d,daily_pubs_zscore_30d,unique_keywords,keyword_entropy,total_keyword_mentions,top10_keyword_mentions,top10_keyword_concentration,unique_keywords_7d_avg,keyword_entropy_7d_avg,new_keyword_count,new_keyword_share,new_keyword_count_14d_avg,unique_subfields,subfield_entropy,dominant_subfield_share,dominant_subfield_changed,kw_count__artificial-intelligence,kw_count__chemistry,kw_count__composite-material,kw_count__computer-science,kw_count__engineering,kw_count__materials-science,kw_count__medicine,kw_count__nanotechnology,kw_count__organic-chemistry,kw_count__physics,sf_count__2204,sf_count__2741,sf_count__3607
2020-01-01,155,141,79,91,12.212903225806452,0.9096774193548387,0.5096774193548387,0.5870967741935483,155.0,155.0,155.0,141.0,141.0,141.0,79.0,79.0,79.0,91.0,91.0,91.0,12.212903225806452,12.212903225806452,12.212903225806452,0.0,0.0,0.0,0.0,875,6.01017847004853,1893,416.0,0.219756999471738,875.0,6.01017847004853,875.0,1.0,875.0,3,0.6937419738134564,0.6258064516129033,0,22.0,57.0,21.0,47.0,33.0,64.0,71.0,36.0,28.0,37.0,97,57,1
2020-01-02,157,155,73,88,14.21656050955414,0.9872611464968153,0.46496815286624205,0.5605095541401274,156.0,156.0,156.0,148.0,148.0,148.0,76.0,76.0,76.0,89.5,89.5,89.5,13.214731867680296,13.214731867680296,13.214731867680296,0.012903225806451646,0.0,0.0,0.0,1006,6.199477171523772,2232,409.0,0.1832437275985663,940.5,6.10482782078615,658.0,0.6540755467196819,766.5,3,0.5902008387460717,0.7515923566878981,0,16.0,60.0,28.0,43.0,27.0,80.0,47.0,38.0,27.0,43.0,118,38,1
2020-01-03,134,127,59,72,13.313432835820896,0.9477611940298507,0.44029850746268656,0.5373134328358209,148.66666666666666,148.66666666666666,148.66666666666666,141.0,141.0,141.0,70.33333333333333,70.33333333333333,70.33333333333333,83.66666666666667,83.66666666666667,83.66666666666667,13.24763219039383,13.24763219039383,13.24763219039383,-0.14649681528662417,0.0,0.0,0.0,834,6.016321038751185,1784,369.0,0.2068385650224215,905.0,6.075325560107829,407.0,0.4880095923261391,646.6666666666666,2,0.6382245093104275,0.664179104477612,0,28.0,45.0,27.0,52.0,28.0,63.0,48.0,22.0,18.0,38.0,89,45,0
2020-01-04,31,31,14,17,13.96774193548387,1.0,0.45161290322580644,0.5483870967741935,119.25,119.25,119.25,113.5,113.5,113.5,56.25,56.25,56.25,67.0,67.0,67.0,13.42765962666634,13.42765962666634,13.42765962666634,-0.7686567164179104,0.0,0.0,0.0,289,5.392623390499761,433,78.0,0.18013856812933027,751.0,5.904650017705812,93.0,0.3217993079584775,508.25,2,0.6287993940937805,0.6774193548387096,0,2.0,12.0,5.0,9.0,5.0,13.0,10.0,6.0,5.0,11.0,21,10,0
2020-01-05,57,53,27,36,13.947368421052632,0.9298245614035088,0.47368421052631576,0.631578947368421,106.8,106.8,106.8,101.4,101.4,101.4,50.4,50.4,50.4,60.8,60.8,60.8,13.531601385543599,13.531601385543599,13.531601385543599,0.8387096774193548,0.0,0.0,-0.9476247065367749,462,5.709464808274407,795,151.0,0.189937106918239,693.2,5.865612975819531,167.0,0.36147186147186144,440.0,3,0.7486794208226515,0.6666666666666666,0,8.0,22.0,12.0,16.0,7.0,34.0,8.0,15.0,11.0,18.0,38,17,2
2020-01-06,97,97,52,59,13.927835051546392,1.0,0.5360824742268041,0.6082474226804123,105.16666666666667,105.16666666666667,105.16666666666667,100.66666666666667,100.66666666666667,100.66666666666667,50.666666666666664,50.666666666666664,50.666666666666664,60.5,60.5,60.5,13.597640329877398,13.597640329877398,13.597640329877398,0.7017543859649122,0.0,0.0,-0.1697413186247268,728,6.057875707965978,1351,243.0,0.17986676535899335,699.0,5.897656764510605,244.0,0.33516483516483514,407.3333333333333,2,0.5913886864871765,0.7216494845360825,0,14.0,35.0,18.0,22.0,12.0,45.0,35.0,20.0,15.0,27.0,70,27,0
2020-01-07,180,177,86,116,14.35,0.9833333333333333,0.4777777777777778,0.6444444444444445,115.85714285714286,115.85714285714286,115.85714285714286,111.57142857142857,111.57142857142857,111.57142857142857,55.714285714285715,55.714285714285715,55.714285714285715,68.42857142857143,68.42857142857143,68.42857142857143,13.705120282752054,13.705120282752054,13.705120282752054,0.8556701030927836,0.0,0.0,1.2413834435021875,1073,6.186395809449983,2583,491.0,0.19008904374758034,752.4285714285714,5.938905199501945,445.0,0.4147250698974837,412.7142857142857,2,0.49260365753958385,0.8055555555555556,0,17.0,87.0,31.0,39.0,27.0,95.0,52.0,40.0,49.0,54.0,145,35,0
2020-01-08,172,168,87,108,14.046511627906977,0.9767441860465116,0.5058139534883721,0.627906976744186,118.28571428571429,122.875,122.875,115.42857142857143,118.625,118.625,56.857142857142854,59.625,59.625,70.85714285714286,73.375,73.375,13.967064340194986,13.74779420089642,13.74779420089642,-0.0444444444444444,0.10967741935483866,0.0,0.9487800552187132,1030,6.16278511827193,2416,480.0,0.1986754966887417,774.5714285714286,5.9607061492481455,358.0,0.34757281553398056,405.875,3,0.6719610267302987,0.686046511627907,0,26.0,80.0,46.0,41.0,26.0,91.0,54.0,38.0,43.0,35.0,118,52,2
2020-01-09,171,167,96,115,14.052631578947368,0.9766081871345029,0.5614035087719298,0.672514619883041,120.28571428571429,128.22222222222223,128.22222222222223,117.14285714285714,124.0,124.0,60.142857142857146,63.666666666666664,63.666666666666664,74.71428571428571,78.0,78.0,13.943645921536879,13.78166502067986,13.78166502067986,-0.005813953488372103,0.08917197452229297,0.0,0.8370554235441123,1065,6.188829171294751,2403,475.0,0.1976695796920516,783.0,5.959185006358284,345.0,0.323943661971831,399.1111111111111,3,0.5333751220169723,0.7953216374269005,0,23.0,74.0,37.0,47.0,30.0,92.0,45.0,39.0,47.0,41.0,136,34,1
2020-01-10,165,161,84,106,13.690909090909091,0.9757575757575757,0.509090909090909,0.6424242424242425,124.71428571428571,131.9,131.9,122.0,127.7,127.7,63.714285714285715,65.7,65.7,79.57142857142857,80.8,80.8,13.99757110083519,13.77258942770278,13.77258942770278,-0.03508771929824561,0.23134328358208944,0.0,0.6656995872342717,1043,6.2052767428370155,2259,438.0,0.19389110225763612,812.8571428571429,5.986178678370547,305.0,0.29242569511025884,389.7,2,0.6082748267747685,0.703030303030303,0,23.0,65.0,37.0,37.0,25.0,81.0,52.0,35.0,38.0,45.0,116,49,0
