ticker,horizon_weeks,train_months,task,feature_set,n_folds
XHE,4,1,regression,A_market_only,69
XHE,4,1,regression,B_market_plus_literature,69
XHE,4,1,classification,A_market_only,70
XHE,4,1,classification,B_market_plus_literature,70
XHE,4,2,regression,A_market_only,69
XHE,4,2,regression,B_market_plus_literature,69
XHE,4,2,classification,A_market_only,70
XHE,4,2,classification,B_market_plus_literature,70
XHE,4,3,regression,A_market_only,68
XHE,4,3,regression,B_market_plus_literature,68
XHE,4,3,classification,A_market_only,69
XHE,4,3,classification,B_market_plus_literature,69
XHE,5,1,regression,A_market_only,69
XHE,5,1,regression,B_market_plus_literature,69
XHE,5,1,classification,A_market_only,70
XHE,5,1,classification,B_market_plus_literature,70
XHE,5,2,regression,A_market_only,69
XHE,5,2,regression,B_market_plus_literature,69
XHE,5,2,classification,A_market_only,70
XHE,5,2,classification,B_market_plus_literature,70
XHE,5,3,regression,A_market_only,68
XHE,5,3,regression,B_market_plus_literature,68
XHE,5,3,classification,A_market_only,69
XHE,5,3,classification,B_market_plus_literature,69
XHE,6,1,regression,A_market_only,68
XHE,6,1,regression,B_market_plus_literature,68
XHE,6,1,classification,A_market_only,69
XHE,6,1,classification,B_market_plus_literature,69
XHE,6,2,regression,A_market_only,68
XHE,6,2,regression,B_market_plus_literature,68
XHE,6,2,classification,A_market_only,69
XHE,6,2,classification,B_market_plus_literature,69
XHE,6,3,regression,A_market_only,68
XHE,6,3,regression,B_market_plus_literature,68
XHE,6,3,classification,A_market_only,69
XHE,6,3,classification,B_market_plus_literature,69
XHE,7,1,regression,A_market_only,68
XHE,7,1,regression,B_market_plus_literature,68
XHE,7,1,classification,A_market_only,69
XHE,7,1,classification,B_market_plus_literature,69
XHE,7,2,regression,A_market_only,68
XHE,7,2,regression,B_market_plus_literature,68
XHE,7,2,classification,A_market_only,69
XHE,7,2,classification,B_market_plus_literature,69
XHE,7,3,regression,A_market_only,68
XHE,7,3,regression,B_market_plus_literature,68
XHE,7,3,classification,A_market_only,69
XHE,7,3,classification,B_market_plus_literature,69
XHE,8,1,regression,A_market_only,67
XHE,8,1,regression,B_market_plus_literature,67
XHE,8,1,classification,A_market_only,69
XHE,8,1,classification,B_market_plus_literature,69
XHE,8,2,regression,A_market_only,67
XHE,8,2,regression,B_market_plus_literature,67
XHE,8,2,classification,A_market_only,69
XHE,8,2,classification,B_market_plus_literature,69
XHE,8,3,regression,A_market_only,67
XHE,8,3,regression,B_market_plus_literature,67
XHE,8,3,classification,A_market_only,69
XHE,8,3,classification,B_market_plus_literature,69
