ticker,horizon_weeks,train_months,task,baseline_best_model,baseline_score,lit_best_model,lit_score,lit_helps
IHI,1,1,classification,lasso,0.49468988537702874,lasso,0.5030210665560523,0.008331181179023539
IHI,1,1,regression,random_forest,0.031739444222218124,random_forest,0.030519379809179913,0.0012200644130382111
IHI,1,2,classification,lasso,0.4686635915027546,lasso,0.49557609438616307,0.026912502883408462
IHI,1,2,regression,random_forest,0.031821468813990304,random_forest,0.029749019619143346,0.0020724491948469585
IHI,1,3,classification,random_forest,0.4942236871895613,lasso,0.49450339344379735,0.0002797062542360673
IHI,1,3,regression,random_forest,0.03053786890179875,random_forest,0.02853168310468084,0.0020061857971179105
IHI,2,1,classification,lasso,0.46003506790692145,lasso,0.4592365512878752,-0.0007985166190462301
IHI,2,1,regression,random_forest,0.045403136977661455,random_forest,0.04392401389486972,0.0014791230827917376
IHI,2,2,classification,random_forest,0.46722604789783606,xgboost,0.47477045238732063,0.0075444044894845685
IHI,2,2,regression,random_forest,0.046367324997867373,random_forest,0.04372690448970849,0.0026404205081588805
IHI,2,3,classification,lasso,0.49918160527055166,lasso,0.5168557671890673,0.017674161918515674
IHI,2,3,regression,random_forest,0.04532317678246005,random_forest,0.0407712521438628,0.00455192463859725
IHI,3,1,classification,lasso,0.4973353131558428,xgboost,0.47696047713864,-0.020374836017202802
IHI,3,1,regression,random_forest,0.055447400056085804,random_forest,0.05450336438914402,0.0009440356669417824
IHI,3,2,classification,lasso,0.47679477491017214,lasso,0.4800571445553466,0.0032623696451744566
IHI,3,2,regression,random_forest,0.05481008820502092,random_forest,0.05326793771680716,0.0015421504882137602
IHI,3,3,classification,random_forest,0.46310130743023,random_forest,0.45821497950639334,-0.004886327923836642
IHI,3,3,regression,random_forest,0.05583530307565287,random_forest,0.054113175101498934,0.001722127974153935
IHI,4,1,classification,xgboost,0.4443095528205041,xgboost,0.4736383094947986,0.02932875667429452
IHI,4,1,regression,random_forest,0.06245233988053403,random_forest,0.06218639879267845,0.0002659410878555826
IHI,4,2,classification,random_forest,0.48776623942691283,random_forest,0.4896185692916651,0.0018523298647522557
IHI,4,2,regression,random_forest,0.06265552312359661,random_forest,0.06127246683260954,0.0013830562909870683
IHI,4,3,classification,random_forest,0.445095216416478,random_forest,0.4720776923692056,0.026982475952727625
IHI,4,3,regression,xgboost,0.06309557509821838,random_forest,0.06067065110277041,0.0024249239954479695
IHI,5,1,classification,random_forest,0.4925261487994407,lasso,0.4893797523169866,-0.0031463964824540724
IHI,5,1,regression,random_forest,0.06877469043270347,random_forest,0.06869197124752098,8.271918518248933e-05
IHI,5,2,classification,random_forest,0.4684368105469773,random_forest,0.5087345481150644,0.04029773756808708
IHI,5,2,regression,xgboost,0.07183080274986682,xgboost,0.06926344564395744,0.0025673571059093847
IHI,5,3,classification,lasso,0.43952555531005444,xgboost,0.46348016170919365,0.02395460639913921
IHI,5,3,regression,xgboost,0.07047556544428168,random_forest,0.0665488302575198,0.003926735186761884
IHI,6,1,classification,xgboost,0.5167779820749674,xgboost,0.5112267550930369,-0.005551226981930446
IHI,6,1,regression,random_forest,0.07182448544880561,random_forest,0.07154762651423983,0.0002768589345657768
IHI,6,2,classification,random_forest,0.5267200983497868,random_forest,0.5426649699806598,0.015944871630872992
IHI,6,2,regression,xgboost,0.07241594062362439,random_forest,0.0711401670871229,0.00127577353650149
IHI,6,3,classification,lasso,0.5432390479549967,lasso,0.5524296865208219,0.009190638565825249
IHI,6,3,regression,xgboost,0.07221291793250599,random_forest,0.06920148608852236,0.003011431843983628
IHI,7,1,classification,random_forest,0.5475182988117022,random_forest,0.5555880593389297,0.00806976052722752
IHI,7,1,regression,random_forest,0.07291887037018611,random_forest,0.07437821657733344,-0.0014593462071473273
IHI,7,2,classification,lasso,0.5391124959675353,lasso,0.5722652136441808,0.033152717676645516
IHI,7,2,regression,random_forest,0.07160700244328283,random_forest,0.06854853555848517,0.0030584668847976615
IHI,7,3,classification,lasso,0.5415882103724109,lasso,0.5752430282327804,0.0336548178603695
IHI,7,3,regression,random_forest,0.06857291239180198,random_forest,0.06724803964227584,0.0013248727495261403
IHI,8,1,classification,random_forest,0.5437784327347555,random_forest,0.5564985313716783,0.012720098636922805
IHI,8,1,regression,random_forest,0.07595906026756497,random_forest,0.0773012653749189,-0.0013422051073539304
IHI,8,2,classification,xgboost,0.5537120138950802,lasso,0.5633424800472854,0.009630466152205197
IHI,8,2,regression,xgboost,0.0733242794506894,random_forest,0.07290143995173178,0.0004228394989576195
IHI,8,3,classification,lasso,0.5844903402459863,lasso,0.6128526764582879,0.028362336212301553
IHI,8,3,regression,xgboost,0.07331529364330125,xgboost,0.07034310257163665,0.002972191071664604
XHE,1,1,classification,lasso,0.4903823956149351,lasso,0.48201632651466675,-0.008366069100268325
XHE,1,1,regression,random_forest,0.03919099575226958,random_forest,0.037277191754318616,0.0019138039979509636
XHE,1,2,classification,xgboost,0.4921612826532734,xgboost,0.49814653799943115,0.005985255346157736
XHE,1,2,regression,random_forest,0.03994536514116711,random_forest,0.03772750479779445,0.0022178603433726587
XHE,1,3,classification,lasso,0.48873868810193555,random_forest,0.4847207596237543,-0.004017928478181221
XHE,1,3,regression,random_forest,0.03829490805066815,random_forest,0.03640511951822769,0.0018897885324404631
XHE,2,1,classification,xgboost,0.4892803012613409,xgboost,0.5006405624450737,0.01136026118373279
XHE,2,1,regression,random_forest,0.05554756352167693,random_forest,0.05331548526295569,0.0022320782587212443
XHE,2,2,classification,xgboost,0.45639990008901404,xgboost,0.4660951432788635,0.009695243189849434
