ticker,horizon_weeks,train_months,task,baseline_best_model,baseline_score,lit_best_model,lit_score,lit_helps
IBB,1,1,classification,lasso,0.5085168315209891,random_forest,0.5167712885732675,0.008254457052278341
IBB,1,1,regression,random_forest,0.034852139305067885,random_forest,0.0332379448113647,0.0016141944937031819
IBB,1,2,classification,lasso,0.5225256039590789,random_forest,0.5371588980922097,0.014633294133130859
IBB,1,2,regression,random_forest,0.03541733024721394,random_forest,0.03445554488436855,0.0009617853628453923
IBB,1,3,classification,lasso,0.522127517625478,xgboost,0.5315405860127776,0.009413068387299606
IBB,1,3,regression,random_forest,0.03456710344932947,random_forest,0.033445862704836876,0.001121240744492595
IBB,2,1,classification,xgboost,0.5311226895584529,random_forest,0.5239939982650018,-0.0071286912934510616
IBB,2,1,regression,random_forest,0.04804609062285976,random_forest,0.04673479682653473,0.0013112937963250318
IBB,2,2,classification,xgboost,0.5056735217490367,random_forest,0.49894702878030756,-0.006726492968729125
IBB,2,2,regression,random_forest,0.049765151490028345,random_forest,0.04807010030565291,0.0016950511843754346
IBB,2,3,classification,xgboost,0.5015519982289458,random_forest,0.5005376404291936,-0.0010143577997522302
IBB,2,3,regression,random_forest,0.049065889325929514,random_forest,0.047600557944087254,0.0014653313818422595
IBB,3,1,classification,lasso,0.5111064434094835,lasso,0.5182913806254767,0.007184937215993226
IBB,3,1,regression,random_forest,0.059443732723274884,random_forest,0.05849218515844041,0.0009515475648344748
IBB,3,2,classification,lasso,0.48987285407193887,lasso,0.5177609537678187,0.027888099695879853
IBB,3,2,regression,random_forest,0.062113050597763016,random_forest,0.05980414182774452,0.0023089087700184988
IBB,3,3,classification,random_forest,0.4793276153091096,lasso,0.526149932602027,0.046822317292917415
IBB,3,3,regression,xgboost,0.059614146480192656,random_forest,0.05661243299711235,0.003001713483080308
IBB,4,1,classification,random_forest,0.4929021169524601,xgboost,0.4896012405378211,-0.003300876414638998
IBB,4,1,regression,random_forest,0.06784836726956123,random_forest,0.06726578390478,0.0005825833647812306
IBB,4,2,classification,xgboost,0.45271693491209675,lasso,0.49592155855477205,0.0432046236426753
IBB,4,2,regression,xgboost,0.07161249208792558,xgboost,0.06976256909937258,0.0018499229885530072
IBB,4,3,classification,lasso,0.5001220758259858,lasso,0.5049862368586873,0.004864161032701486
IBB,4,3,regression,xgboost,0.06903587225746985,random_forest,0.06386145400703758,0.005174418250432272
IBB,5,1,classification,random_forest,0.4962339572816853,random_forest,0.4924074655866091,-0.0038264916950762062
IBB,5,1,regression,random_forest,0.0797399029567503,random_forest,0.07776371607899836,0.0019761868777519453
IBB,5,2,classification,lasso,0.5233724769291948,lasso,0.5393677587531789,0.01599528182398413
IBB,5,2,regression,random_forest,0.08038660869291599,random_forest,0.07736591292793854,0.0030206957649774463
IBB,5,3,classification,lasso,0.4985113798415957,lasso,0.4945624501191111,-0.003948929722484618
IBB,5,3,regression,xgboost,0.07691788019798322,xgboost,0.07149252324191106,0.005425356956072158
IBB,6,1,classification,random_forest,0.4575981182836222,random_forest,0.4963244595420499,0.03872634125842772
IBB,6,1,regression,random_forest,0.08658090669308717,random_forest,0.08470628349926268,0.00187462319382449
IBB,6,2,classification,lasso,0.48503497961263353,random_forest,0.5183613355437054,0.033326355931071916
IBB,6,2,regression,random_forest,0.0812290985818742,random_forest,0.07914946234229803,0.002079636239576174
IBB,6,3,classification,lasso,0.5166002377772352,random_forest,0.512087954606112,-0.004512283171123177
IBB,6,3,regression,xgboost,0.07843150783651975,xgboost,0.07581860983314913,0.0026128980033706256
IBB,7,1,classification,lasso,0.4942183105699174,lasso,0.47947205902135764,-0.014746251548559741
IBB,7,1,regression,random_forest,0.09243947772784537,random_forest,0.09183110971612592,0.0006083680117194568
IBB,7,2,classification,xgboost,0.4758025843092006,lasso,0.47499141104752485,-0.000811173261675735
IBB,7,2,regression,random_forest,0.08816839088026505,random_forest,0.08557490642021932,0.0025934844600457307
IBB,7,3,classification,lasso,0.5224992006854507,lasso,0.4989231542509824,-0.023576046434468367
IBB,7,3,regression,xgboost,0.08342529989594075,xgboost,0.08109418000622005,0.0023311198897206925
IBB,8,1,classification,lasso,0.4566948677186465,lasso,0.46948450349107007,0.012789635772423591
IBB,8,1,regression,random_forest,0.1007116357814905,random_forest,0.09978861836375069,0.0009230174177398132
IBB,8,2,classification,lasso,0.46791969182278614,random_forest,0.475576995992875,0.007657304170088863
IBB,8,2,regression,xgboost,0.09781257560710155,random_forest,0.09490683574698305,0.0029057398601184947
IBB,8,3,classification,lasso,0.534523604939484,random_forest,0.5215105559051435,-0.01301304903434053
IBB,8,3,regression,xgboost,0.09395867916513317,random_forest,0.09180343753531772,0.002155241629815452
XBI,1,1,classification,lasso,0.5176865087620237,xgboost,0.5229886496009549,0.005302140838931213
XBI,1,1,regression,random_forest,0.049219208837756045,random_forest,0.046448927370532765,0.0027702814672232803
XBI,1,2,classification,lasso,0.5172009427861012,random_forest,0.5040855739008729,-0.01311536888522824
XBI,1,2,regression,random_forest,0.049521798773907416,random_forest,0.048411896635753154,0.0011099021381542618
XBI,1,3,classification,random_forest,0.5081084520891503,xgboost,0.4979355646950909,-0.010172887394059416
XBI,1,3,regression,random_forest,0.04950582195737069,random_forest,0.04706130366430123,0.0024445182930694573
XBI,2,1,classification,lasso,0.5222683827015308,lasso,0.510450830633897,-0.011817552067633796
XBI,2,1,regression,random_forest,0.06710281506524167,random_forest,0.06721063879285386,-0.00010782372761218573
XBI,2,2,classification,lasso,0.5359379957516602,lasso,0.5277545572004545,-0.008183438551205735
XBI,2,2,regression,random_forest,0.06924048024277389,random_forest,0.06871034754193256,0.000530132700841332
XBI,2,3,classification,lasso,0.508954964601169,lasso,0.5223779431967672,0.013422978595598267
XBI,2,3,regression,random_forest,0.06688399882794413,random_forest,0.06605746299360768,0.0008265358343364504
XBI,3,1,classification,random_forest,0.5359008970761177,xgboost,0.5134361878722781,-0.022464709203839583
XBI,3,1,regression,random_forest,0.08351137595164637,random_forest,0.08378593463982596,-0.00027455868817959084
XBI,3,2,classification,lasso,0.5187760338168967,random_forest,0.4879173087999502,-0.03085872501694653
XBI,3,2,regression,xgboost,0.08691011100088922,random_forest,0.0881469187771829,-0.0012368077762936885
XBI,3,3,classification,lasso,0.5091750542650951,lasso,0.5397268591080152,0.030551804842920083
XBI,3,3,regression,random_forest,0.08335385363243136,random_forest,0.08242518857919796,0.000928665053233399
XBI,4,1,classification,random_forest,0.5310068154576163,lasso,0.5276814353783952,-0.0033253800792211186
XBI,4,1,regression,random_forest,0.09727400071828388,random_forest,0.09612201424074918,0.0011519864775347
XBI,4,2,classification,random_forest,0.5033132449984362,lasso,0.523760544783755,0.020447299785318784
XBI,4,2,regression,xgboost,0.10233547564915871,xgboost,0.10356626339340008,-0.001230787744241374
XBI,4,3,classification,lasso,0.5341538959387929,lasso,0.5639026750010733,0.02974877906228035
XBI,4,3,regression,xgboost,0.09655413393081635,random_forest,0.09141900483956683,0.005135129091249524
XBI,5,1,classification,xgboost,0.5080934054503848,random_forest,0.5260312766671055,0.017937871216720636
XBI,5,1,regression,random_forest,0.11246196693653118,random_forest,0.10923098754271086,0.0032309793938203185
XBI,5,2,classification,xgboost,0.515892880139366,lasso,0.5143674827950736,-0.0015253973442923563
XBI,5,2,regression,random_forest,0.11697057655133859,random_forest,0.11431566543384457,0.0026549111174940243
XBI,5,3,classification,lasso,0.5307260963315088,lasso,0.5035720495028027,-0.027154046828706146
XBI,5,3,regression,xgboost,0.11242443747227207,random_forest,0.10385326067015443,0.008571176802117636
XBI,6,1,classification,lasso,0.49811226094680483,lasso,0.4935230756044606,-0.004589185342344204
XBI,6,1,regression,random_forest,0.12477281537184606,random_forest,0.12334965481796178,0.0014231605538842784
XBI,6,2,classification,lasso,0.5312710730828332,lasso,0.5047642233842612,-0.026506849698571977
XBI,6,2,regression,random_forest,0.12183559127653554,random_forest,0.12121080551217389,0.0006247857643616461
XBI,6,3,classification,lasso,0.5036487650356917,lasso,0.5097342298864536,0.00608546485076189
XBI,6,3,regression,xgboost,0.12481111226946465,xgboost,0.1179276374106648,0.006883474858799851
XBI,7,1,classification,xgboost,0.4958681359984713,xgboost,0.4951729584601936,-0.0006951775382776915
XBI,7,1,regression,random_forest,0.13293411617598164,random_forest,0.13462881123458148,-0.0016946950585998433
XBI,7,2,classification,random_forest,0.48115483329392394,random_forest,0.4817644945841146,0.0006096612901906329
XBI,7,2,regression,random_forest,0.13378132025251266,random_forest,0.1332294680881991,0.0005518521643135543
XBI,7,3,classification,lasso,0.48127678708715427,xgboost,0.5023060960529868,0.02102930896583255
XBI,7,3,regression,random_forest,0.12861746111755495,xgboost,0.12442986675998358,0.004187594357571378
XBI,8,1,classification,lasso,0.47593266404827445,random_forest,0.4682464309367105,-0.007686233111563967
XBI,8,1,regression,xgboost,0.1521746060442908,xgboost,0.15289915659595715,-0.000724550551666342
XBI,8,2,classification,lasso,0.4756143810864734,random_forest,0.47900063930807146,0.0033862582215980486
XBI,8,2,regression,xgboost,0.15033218100353846,xgboost,0.14808343779714594,0.0022487432063925117
XBI,8,3,classification,xgboost,0.4621603559221707,random_forest,0.4883200655014406,0.026159709579269885
XBI,8,3,regression,random_forest,0.14864135574076726,xgboost,0.1432242882371429,0.005417067503624362
