ticker,feature,n_obs,best_lag,min_pvalue,best_weekly_lag,min_weekly_pvalue,p_lag_1,p_lag_2,p_lag_3,p_lag_4,p_lag_5,p_lag_6,p_lag_7,p_lag_8,p_lag_9,p_lag_10,p_lag_11,p_lag_12,p_lag_13,p_lag_14,p_lag_15,p_lag_16,p_lag_17,p_lag_18,p_lag_19,p_lag_20,p_lag_21,p_lag_22,p_lag_23,p_lag_24,p_lag_25,p_lag_26,p_lag_27,p_lag_28,p_lag_29,p_lag_30,p_lag_31,p_lag_32,p_lag_33,p_lag_34,p_lag_35,p_lag_36,p_lag_37,p_lag_38,p_lag_39,p_lag_40,fdr_pvalue,weekly_fdr_pvalue
IBB,new_keyword_count_14d_avg,1506,40,8.887813195797807e-15,40,8.887813195797807e-15,0.5187130434138869,0.35331802278185,0.11255957822542989,0.09370207801727964,0.103343710884803,0.03798316872539528,0.03164440860163674,0.05440000915908779,0.06374281244120235,0.11083610256922694,0.12321568870100921,0.11113887464489498,0.0862647568212732,0.10570620053137376,0.0381179373499763,0.0010175317516658469,0.00019742331604361227,0.0001505202170445179,0.0003751307914314469,0.0002848882240772602,0.000386528815810107,0.0011605922405962415,0.0005559840583871331,7.716272360018342e-05,7.224150968784073e-08,5.9578863951606e-08,4.5487420878044176e-09,3.174551887496018e-09,6.567631558296967e-10,5.5381007679949953e-11,4.647979664877533e-12,6.325465574312877e-12,3.75061927780263e-12,2.3190055118036304e-11,4.43238442467488e-11,1.4553666139835841e-12,1.743730310644735e-12,1.8255033901020434e-12,1.1794025592355583e-14,8.887813195797807e-15,7.288006820554201e-13,7.288006820554201e-13
XBI,new_keyword_count_14d_avg,1506,39,5.656857299291801e-12,40,2.029446406282695e-11,0.654130210224101,0.6805296753303178,0.37303237370133246,0.3497438343743016,0.3690228878325648,0.40189255685801595,0.4254394538873455,0.5426998883991779,0.5540896868210359,0.6161946475631512,0.592902445952048,0.5770804135466502,0.3385645821042698,0.3460629684111428,0.24956107680594045,0.017733365568953496,0.010163327680647883,0.010980076435826673,0.015224257674433372,0.017234971589845598,0.014326489483019473,0.019266034045032413,0.017867980745998307,0.007436451142579866,9.108153217147894e-05,4.800291363294521e-05,1.7897769723353525e-05,2.0382730418068992e-06,1.8126162307667662e-06,6.336407237148082e-07,6.618072304851853e-08,9.399313486410427e-08,6.71992708713551e-08,2.0684298201844947e-07,1.4641162071076094e-07,1.351144359987958e-08,9.591157890076465e-09,7.109483610604587e-09,5.656857299291801e-12,2.029446406282695e-11,2.3193114927096382e-10,8.320730265759049e-10
XBI,new_keyword_count,1506,39,0.00013276469139852353,40,0.00023514056351608162,0.09637567137874992,0.2412878147579976,0.40814581022149043,0.5126782863369952,0.6860472179444237,0.5537251796931033,0.7235969295446956,0.504806271629958,0.6055184184462132,0.28752729689911544,0.3170680275137951,0.23919591874957744,0.2293610193817033,0.09505551694109533,0.03743290573119584,0.03291448567859357,0.0174335983419799,0.019622005397791655,0.029233252483183737,0.0466834187969289,0.01359753328415909,0.005223958469729482,0.006962936813352197,0.004814585646763925,0.0031532795964863696,0.004060679107166541,0.002676064414706935,0.0019357728294444557,0.0008562090335274477,0.0006264788858348892,0.0004116495135339154,0.0002404200430503247,0.00034120235217519626,0.00040305684658648565,0.0004901943312256714,0.0006983614070886245,0.0004126877402530177,0.0002605405316373725,0.00013276469139852353,0.00023514056351608162,0.003628901564892977,0.006427175402772898
IBB,new_keyword_count,1506,40,0.00046572863122907573,40,0.00046572863122907573,0.18507251229693658,0.48257972263046756,0.7241003324238189,0.6865438579545016,0.6001130142446641,0.6212075715846036,0.7357708412785516,0.49755151704283596,0.6033669593920662,0.31210841293800823,0.2629583572712038,0.14123051580195373,0.12813064731520438,0.058540098797134614,0.028114302003876792,0.025136780360851155,0.015677136729843832,0.021468147911822742,0.037294152554562324,0.0543919006025474,0.07750572568966062,0.045649757704898854,0.07374968153778513,0.07192467322436802,0.06703726100887232,0.08155659232827209,0.054341780230206575,0.05094482049451815,0.008901586903045065,0.007105723653349815,0.005130149235364552,0.004208707253924659,0.005916327097134699,0.006219307390469059,0.0073884124166581884,0.011017939159652195,0.0053096194502515355,0.0014934537400805362,0.0005160513978791613,0.00046572863122907573,0.009547436940196052,0.009547436940196052
XBI,new_keyword_share,1506,39,0.0008659667749747197,40,0.001289269159233923,0.2882343547451639,0.3007736923685717,0.48577988141445705,0.48335317518133514,0.6450398013135843,0.6590258210610417,0.5637030868262736,0.14500299757866203,0.16652794166431487,0.19218113061088068,0.25159304656605314,0.28084027304978,0.1876411939053971,0.06664786876799156,0.03375106868876518,0.03346674061051875,0.03663207235519574,0.040392313735161396,0.031005849084615247,0.03206929469697683,0.007260476142599422,0.009947368046645437,0.010582035102345413,0.01204474861539345,0.0173113375000311,0.021355088995403046,0.025024833588119806,0.027750547979766386,0.024262735810427025,0.02380815137875347,0.01915362869474467,0.017820979913298517,0.0035893177896040044,0.009396240861664627,0.014423004925568928,0.0031134381691053053,0.004296757116561206,0.0027019916272765176,0.0008659667749747197,0.001289269159233923,0.014201855109585404,0.021144014211436336
IBB,new_keyword_share,1506,39,0.0037622888832921095,40,0.00613988933753344,0.1776458185054368,0.197594976771287,0.33398366603721935,0.4263244130867214,0.43675748462944874,0.4612725073670597,0.44812585224889123,0.060658378176050125,0.08747634664442028,0.11007586706005937,0.1634601746249357,0.17809555118675882,0.09091105205779995,0.05027689528933161,0.03859888583754116,0.03987594452224663,0.0455346848645482,0.04407889690001123,0.03287897887309577,0.05071377655683639,0.06315376687707917,0.07053708902631645,0.09180982639527963,0.1219832332105068,0.15341699867992248,0.17410022092870947,0.2012864164311151,0.22384502987294755,0.2159070453246343,0.22330560267384833,0.2076637402444156,0.20989783841384774,0.04663200385072083,0.11004688208686993,0.1624270666850566,0.02539855191165148,0.03407201264805059,0.01132269406742675,0.0037622888832921095,0.00613988933753344,0.05141794807165883,0.08391182094629036
XBI,unique_subfields,1506,3,0.0045142100448853075,5,0.0172093259271076,0.07421704155112828,0.18722494576853072,0.0045142100448853075,0.00953904602428101,0.0172093259271076,0.006084150347305659,0.009179010950900483,0.01696610957205636,0.0266198016216694,0.03704742636268247,0.053441574663523846,0.07025916437235588,0.08324635643718184,0.13078160309231635,0.16385412465071256,0.21294282415293267,0.2580948246937857,0.2896039262635079,0.33782648863128567,0.1729994963188582,0.17395996629609867,0.21625944562865765,0.13879144681517744,0.07886881184303954,0.08653926582785021,0.06859081076678057,0.06624690229732215,0.09245947026244934,0.11227783915377898,0.10798863403472561,0.11416009775901566,0.14037668265854278,0.15420909567370802,0.15957219647986978,0.17553981174400196,0.2230218800785892,0.24788500885726644,0.2652041531253146,0.17220005907023866,0.06732256397405283,0.05288074624008503,0.14425708689678052
IBB,unique_subfields,1506,6,0.017531243529755408,40,0.022404370913760106,0.09296781398310651,0.23140038024466605,0.021424573647049614,0.03982861891406225,0.04893411095693727,0.017531243529755408,0.021440016422628303,0.03734488322304869,0.049256904514203795,0.08347001608683406,0.12233220463540641,0.17135847985955432,0.22168366544537968,0.2773639829650616,0.3602567326435063,0.4263798413255526,0.4672177680104862,0.4842477275180287,0.5109281060479782,0.24876940703906042,0.29352747629315806,0.31571208762574504,0.16909816328678398,0.05210998462309061,0.055225038155569124,0.0629348462578817,0.05145449475873965,0.07721165055699225,0.1007841454720409,0.11679748744752277,0.12793460920307587,0.1407348714860563,0.16966997269434478,0.15542162524374695,0.168652043687911,0.21013704075602413,0.2009865402220376,0.16458293167456867,0.05084026514088324,0.022404370913760106,0.10643034095716662,0.14425708689678052
XBI,award_count_14d_avg,1506,17,0.019133588551610407,20,0.02490404282980447,0.46975478805259957,0.671463914718153,0.7165291734577165,0.8098666476687714,0.6609270226145103,0.6528960867665834,0.6684123797511617,0.531711296471935,0.6364498374315154,0.7548012796746847,0.14928469542945888,0.05085924516690496,0.031201770882453905,0.03051591265588517,0.0280563039707204,0.03373660779024263,0.019133588551610407,0.028979311712476603,0.021903012169127194,0.02490404282980447,0.03066493560109843,0.03930319662950202,0.046098402388179804,0.05900716679359343,0.0708343369002535,0.08241666380319317,0.06947778610766928,0.08137556789716852,0.1112461278200451,0.1200872881736536,0.10776024509431449,0.06628373777260166,0.05600569005832842,0.0658870293462086,0.04374054891394387,0.051300182568980106,0.06423676277061968,0.0736327834778335,0.08194077802307892,0.07726944724291226,0.10643034095716662,0.14425708689678052
XBI,daily_pubs,1506,3,0.017283574410579084,5,0.025174625341464602,0.022532294154544018,0.05891475874171484,0.017283574410579084,0.03591632130101614,0.025174625341464602,0.02135289261860394,0.04074864026856117,0.06839485354969785,0.09562226897513888,0.10830969019094426,0.15266203952178564,0.18179969274114763,0.24712379504679155,0.28498478341207945,0.28510931715575966,0.3107845528439606,0.3176457654512669,0.15351367615023193,0.20012531311632753,0.12460293220900587,0.10857613784979424,0.12571734985990315,0.13123785765312038,0.16070645588444307,0.15745696361860473,0.16567360479510262,0.19342066005184758,0.20082306585678003,0.18690802959404249,0.17003657182360277,0.14536488565805272,0.09732878925054361,0.11778003290822618,0.09998732185343377,0.10928043373027155,0.12868907366491866,0.14990890165195409,0.17716429575173204,0.13800986850481944,0.10056599065500903,0.10643034095716662,0.14425708689678052
