ticker,horizon_weeks,train_months,task,feature_set,model,metric,mean_score,std_score,n_folds
IBB,6,2,classification,B_market_plus_literature,random_forest,accuracy,0.5183613355437054,0.34335846608657483,69
IBB,6,2,regression,A_market_only,random_forest,rmse,0.0812290985818742,0.04985125856520492,68
IBB,6,2,regression,B_market_plus_literature,random_forest,rmse,0.07914946234229803,0.04685945056776658,68
IBB,6,3,classification,A_market_only,lasso,accuracy,0.5166002377772352,0.30633423098859547,69
IBB,6,3,classification,B_market_plus_literature,random_forest,accuracy,0.512087954606112,0.3332768435678942,69
IBB,6,3,regression,A_market_only,xgboost,rmse,0.07843150783651975,0.046293660838315764,68
IBB,6,3,regression,B_market_plus_literature,xgboost,rmse,0.07581860983314913,0.042008082029111,68
IBB,7,1,classification,A_market_only,lasso,accuracy,0.4942183105699174,0.3728243646997679,69
IBB,7,1,classification,B_market_plus_literature,lasso,accuracy,0.47947205902135764,0.37424206459961423,69
IBB,7,1,regression,A_market_only,random_forest,rmse,0.09243947772784537,0.05419558809591126,68
IBB,7,1,regression,B_market_plus_literature,random_forest,rmse,0.09183110971612592,0.05457216161709848,68
IBB,7,2,classification,A_market_only,xgboost,accuracy,0.4758025843092006,0.35663692253873774,69
IBB,7,2,classification,B_market_plus_literature,lasso,accuracy,0.47499141104752485,0.3445043497503923,69
IBB,7,2,regression,A_market_only,random_forest,rmse,0.08816839088026505,0.05011887089669564,68
IBB,7,2,regression,B_market_plus_literature,random_forest,rmse,0.08557490642021932,0.04773989015329586,68
IBB,7,3,classification,A_market_only,lasso,accuracy,0.5224992006854507,0.33707498792686463,69
IBB,7,3,classification,B_market_plus_literature,lasso,accuracy,0.4989231542509824,0.3481042563077735,69
IBB,7,3,regression,A_market_only,xgboost,rmse,0.08342529989594075,0.04411894472242888,68
IBB,7,3,regression,B_market_plus_literature,xgboost,rmse,0.08109418000622005,0.0422174776409119,68
IBB,8,1,classification,A_market_only,lasso,accuracy,0.4566948677186465,0.38374977971114854,69
IBB,8,1,classification,B_market_plus_literature,lasso,accuracy,0.46948450349107007,0.37283830196617634,69
IBB,8,1,regression,A_market_only,random_forest,rmse,0.1007116357814905,0.058292571590746294,67
IBB,8,1,regression,B_market_plus_literature,random_forest,rmse,0.09978861836375069,0.05581384661816978,67
IBB,8,2,classification,A_market_only,lasso,accuracy,0.46791969182278614,0.36436654417880127,69
IBB,8,2,classification,B_market_plus_literature,random_forest,accuracy,0.475576995992875,0.370518041689553,69
IBB,8,2,regression,A_market_only,xgboost,rmse,0.09781257560710155,0.056293073615144545,67
IBB,8,2,regression,B_market_plus_literature,random_forest,rmse,0.09490683574698305,0.051443172825228395,67
IBB,8,3,classification,A_market_only,lasso,accuracy,0.534523604939484,0.3294363691669313,69
IBB,8,3,classification,B_market_plus_literature,random_forest,accuracy,0.5215105559051435,0.3570056796006582,69
IBB,8,3,regression,A_market_only,xgboost,rmse,0.09395867916513317,0.050887534498765,67
IBB,8,3,regression,B_market_plus_literature,random_forest,rmse,0.09180343753531772,0.04955178395240604,67
XBI,1,1,classification,A_market_only,lasso,accuracy,0.5176865087620237,0.165126184873408,71
XBI,1,1,classification,B_market_plus_literature,xgboost,accuracy,0.5229886496009549,0.1679580894525304,71
XBI,1,1,regression,A_market_only,random_forest,rmse,0.049219208837756045,0.02528205923608973,71
XBI,1,1,regression,B_market_plus_literature,random_forest,rmse,0.046448927370532765,0.018674537893374137,71
XBI,1,2,classification,A_market_only,lasso,accuracy,0.5172009427861012,0.1738750202910767,70
XBI,1,2,classification,B_market_plus_literature,random_forest,accuracy,0.5040855739008729,0.17126968391929273,70
XBI,1,2,regression,A_market_only,random_forest,rmse,0.049521798773907416,0.02219561061155232,70
XBI,1,2,regression,B_market_plus_literature,random_forest,rmse,0.048411896635753154,0.020228806060188752,70
XBI,1,3,classification,A_market_only,random_forest,accuracy,0.5081084520891503,0.18306389144284818,69
XBI,1,3,classification,B_market_plus_literature,xgboost,accuracy,0.4979355646950909,0.16957172833930412,69
XBI,1,3,regression,A_market_only,random_forest,rmse,0.04950582195737069,0.021601792782542054,69
XBI,1,3,regression,B_market_plus_literature,random_forest,rmse,0.04706130366430123,0.017976226197676148,69
XBI,2,1,classification,A_market_only,lasso,accuracy,0.5222683827015308,0.22451463540440278,70
XBI,2,1,classification,B_market_plus_literature,lasso,accuracy,0.510450830633897,0.24034660208592606,70
XBI,2,1,regression,A_market_only,random_forest,rmse,0.06710281506524167,0.04094208104896059,70
XBI,2,1,regression,B_market_plus_literature,random_forest,rmse,0.06721063879285386,0.03657950393731283,70
XBI,2,2,classification,A_market_only,lasso,accuracy,0.5359379957516602,0.23427160747273587,70
XBI,2,2,classification,B_market_plus_literature,lasso,accuracy,0.5277545572004545,0.22377204665433006,70
XBI,2,2,regression,A_market_only,random_forest,rmse,0.06924048024277389,0.03356411436425205,70
XBI,2,2,regression,B_market_plus_literature,random_forest,rmse,0.06871034754193256,0.03325218328358096,70
XBI,2,3,classification,A_market_only,lasso,accuracy,0.508954964601169,0.23976097551799375,69
XBI,2,3,classification,B_market_plus_literature,lasso,accuracy,0.5223779431967672,0.22528538350013966,69
XBI,2,3,regression,A_market_only,random_forest,rmse,0.06688399882794413,0.03154536700183343,69
XBI,2,3,regression,B_market_plus_literature,random_forest,rmse,0.06605746299360768,0.029999408611086718,69
XBI,3,1,classification,A_market_only,random_forest,accuracy,0.5359008970761177,0.3064506304899521,70
XBI,3,1,classification,B_market_plus_literature,xgboost,accuracy,0.5134361878722781,0.3085796275954991,70
XBI,3,1,regression,A_market_only,random_forest,rmse,0.08351137595164637,0.053199337997671126,70
XBI,3,1,regression,B_market_plus_literature,random_forest,rmse,0.08378593463982596,0.05684264234140268,70
XBI,3,2,classification,A_market_only,lasso,accuracy,0.5187760338168967,0.2851722447825559,70
XBI,3,2,classification,B_market_plus_literature,random_forest,accuracy,0.4879173087999502,0.28805913172060615,70
XBI,3,2,regression,A_market_only,xgboost,rmse,0.08691011100088922,0.052853965982845655,70
XBI,3,2,regression,B_market_plus_literature,random_forest,rmse,0.0881469187771829,0.0579480479769756,70
XBI,3,3,classification,A_market_only,lasso,accuracy,0.5091750542650951,0.2600527572461234,69
XBI,3,3,classification,B_market_plus_literature,lasso,accuracy,0.5397268591080152,0.2688047450880639,69
XBI,3,3,regression,A_market_only,random_forest,rmse,0.08335385363243136,0.04309421465423777,69
XBI,3,3,regression,B_market_plus_literature,random_forest,rmse,0.08242518857919796,0.050493743758819695,69
XBI,4,1,classification,A_market_only,random_forest,accuracy,0.5310068154576163,0.33922301180424247,70
XBI,4,1,classification,B_market_plus_literature,lasso,accuracy,0.5276814353783952,0.31917199125659257,70
XBI,4,1,regression,A_market_only,random_forest,rmse,0.09727400071828388,0.0671354719152177,69
XBI,4,1,regression,B_market_plus_literature,random_forest,rmse,0.09612201424074918,0.06690244848699355,69
XBI,4,2,classification,A_market_only,random_forest,accuracy,0.5033132449984362,0.3391044311358379,70
