ticker,horizon_weeks,train_months,task,feature_set,n_folds
IBB,5,2,classification,B_market_plus_literature,70
IBB,5,3,regression,A_market_only,68
IBB,5,3,regression,B_market_plus_literature,68
IBB,5,3,classification,A_market_only,69
IBB,5,3,classification,B_market_plus_literature,69
IBB,6,1,regression,A_market_only,68
IBB,6,1,regression,B_market_plus_literature,68
IBB,6,1,classification,A_market_only,69
IBB,6,1,classification,B_market_plus_literature,69
IBB,6,2,regression,A_market_only,68
IBB,6,2,regression,B_market_plus_literature,68
IBB,6,2,classification,A_market_only,69
IBB,6,2,classification,B_market_plus_literature,69
IBB,6,3,regression,A_market_only,68
IBB,6,3,regression,B_market_plus_literature,68
IBB,6,3,classification,A_market_only,69
IBB,6,3,classification,B_market_plus_literature,69
IBB,7,1,regression,A_market_only,68
IBB,7,1,regression,B_market_plus_literature,68
IBB,7,1,classification,A_market_only,69
IBB,7,1,classification,B_market_plus_literature,69
IBB,7,2,regression,A_market_only,68
IBB,7,2,regression,B_market_plus_literature,68
IBB,7,2,classification,A_market_only,69
IBB,7,2,classification,B_market_plus_literature,69
IBB,7,3,regression,A_market_only,68
IBB,7,3,regression,B_market_plus_literature,68
IBB,7,3,classification,A_market_only,69
IBB,7,3,classification,B_market_plus_literature,69
IBB,8,1,regression,A_market_only,67
IBB,8,1,regression,B_market_plus_literature,67
IBB,8,1,classification,A_market_only,69
IBB,8,1,classification,B_market_plus_literature,69
IBB,8,2,regression,A_market_only,67
IBB,8,2,regression,B_market_plus_literature,67
IBB,8,2,classification,A_market_only,69
IBB,8,2,classification,B_market_plus_literature,69
IBB,8,3,regression,A_market_only,67
IBB,8,3,regression,B_market_plus_literature,67
IBB,8,3,classification,A_market_only,69
IBB,8,3,classification,B_market_plus_literature,69
